Time (Sec);S1;S11;S17;S18;S2;S20;S24;S25;S26;S33;S34;S35;S41;S42;S43;S46;S47;S48;S49;S50;S51;S7;
1320.0096733333014;19158.96242399983;19150.47185279964;19159.314286399975;19158.82397999969;19158.733216799803;19158.72062959975;19158.579343999605;19158.811339999775;19159.273102399973;19158.807551199767;19158.52181199958;19159.260747199973;19158.609627999736;19158.82029119967;19159.283398399974;19156.793596800533;19155.626526398988;19155.767399999007;19156.617443199088;19156.452087999074;19156.231710399017;19159.332819199975;
1380.0096733332987;19158.897587999818;19149.987759999625;19159.273102399973;19158.75488159967;19158.6928343998;19158.634181599733;19158.510245599584;19158.746503999762;19159.240155199972;19158.742715199754;19158.478587999572;19159.22985919997;19158.52317999972;19158.75119279965;19159.242214399972;19156.63069120056;19155.445870398948;19155.522644798948;19156.461723199045;19156.24427359902;19156.054199998973;19159.301931199974;
1440.0096733332948;19158.85436399981;19149.472271999617;19159.22368159997;19158.662750399642;19158.62799839979;19158.547733599717;19158.418114399556;19158.660055999746;19159.19073439997;19158.699491199746;19158.40948959955;19159.19897119997;19158.479955999712;19158.65906159962;19159.20308959997;19156.45726080059;19155.262921598904;19155.298046398897;19156.303683199003;19155.98333759895;19155.796695998906;19159.271043199973;
1500.010762666628;19158.82744239981;19149.0296527996;19159.18455679997;19158.619526399634;19158.541550399772;19158.4612855997;19158.374890399547;19158.616831999738;19159.16190559997;19158.67067519974;19158.317358399523;19159.16602399997;19158.41085759969;19158.615837599613;19159.17220159997;19156.308312000616;19155.068739198858;19155.106817598855;19156.139337598957;19155.7806735989;19155.654646398867;19159.238095999972;
1560.009673333294;19158.798626399803;19148.643502399576;19159.16190559997;19158.59071039963;19158.455102399756;19158.418061599692;19158.305791999526;19158.551995999725;19159.128958399968;19158.641859199735;19158.274134399515;19159.14337279997;19158.324409599674;19158.585127199603;19159.13925439997;19156.178353600637;19154.932249598827;19154.91269919881;19155.973603198912;19155.67046079887;19155.477135998823;19159.20514879997;
1620.0096733332941;19158.769810399797;19148.275156799544;19159.137195199968;19158.561894399623;19158.414719999753;19158.35322559968;19158.213660799498;19158.508771999717;19159.089833599966;19158.577023199723;19158.205035999494;19159.110425599967;19158.281185599666;19158.556311199598;19159.116603199967;19156.054344000655;19154.735449598786;19154.78886879878;19155.85718559888;19155.540596798834;19155.27515359877;19159.18249759997;
1680.0096733332925;19158.74099439979;19147.91829439952;19159.106307199967;19158.492795999602;19158.38779839975;19158.31000159967;19158.12152959947;19158.443935999705;19159.048649599965;19158.533799199715;19158.161811999486;19159.081596799966;19158.25236959966;19158.52560079959;19159.100129599967;19155.934224000674;19154.57148639875;19154.69229919876;19155.77144479886;19155.383211198794;19155.049859198713;19159.16602399997;
1740.009673333289;19158.712178399786;19147.49207519949;19159.065123199965;19158.400664799574;19158.36087679975;19158.24516559966;19158.02939839944;19158.400711999697;19159.009524799963;19158.468963199703;19158.092713599464;19159.048649599965;19158.18753359965;19158.456502399567;19159.067182399966;19155.790766400696;19154.378347198708;19154.495727998717;19155.694228798835;19155.16500959874;19154.854969598662;19159.14955039997;
1800.0096733332884;19158.68336239978;19147.014303999447;19159.025998399964;19158.357440799566;19158.33395519975;19158.158717599643;19157.937267199413;19158.335875999685;19158.968340799962;19158.425739199694;19158.049489599456;19159.019820799964;19158.101085599632;19158.36437119954;19159.017761599964;19155.62992000072;19154.21072319867;19154.206019198657;19155.608961598813;19154.966964798685;19154.636767998607;19159.133076799968;
1860.0096733332866;19158.61852639977;19146.511459199384;19158.993051199963;19158.32862479956;19158.269119199736;19158.072269599626;19157.894043199405;19158.249427999668;19158.92921599996;19158.360903199682;19157.980391199435;19158.986873599963;19158.014637599616;19158.27223999951;19158.968340799962;19155.460608000743;19154.01758399863;19153.916310398596;19155.443227198768;19154.79270559864;19154.439196798554;19159.100129599967;
